id,age,gender,sign,tarot,favorite_color,favorite_animal
5677,28,male,taurus,13,green,dog
5678,42,female,scorpio,2,orange,tiger
5679,44,male,sagittarius,1,blue,eagle
5680,36,male,taurus,11,purple,elephant
5681,40,female,cancer,2,blue,elephant
5682,26,male,virgo,4,yellow,tiger
5683,25,female,scorpio,12,green,horse
5684,56,female,libra,15,yellow,horse
5685,53,male,capricorn,15,green,hamster
5686,20,female,gemini,20,yellow,goldfish
5687,21,female,scorpio,9,orange,elephant
5688,23,male,gemini,14,purple,goldfish
5689,24,female,scorpio,9,blue,goldfish
5690,40,female,cancer,0,purple,cat
5691,42,male,cancer,10,yellow,tiger
5692,54,male,pisces,19,orange,hamster
5693,54,female,virgo,14,yellow,hamster
5694,47,female,capricorn,6,blue,cat
5695,48,female,gemini,1,yellow,tiger
5696,27,male,sagittarius,2,purple,eagle
5697,26,male,taurus,18,yellow,dog
5698,35,female,aries,9,purple,goldfish
5699,34,male,aries,0,blue,dog
5700,25,female,capricorn,19,green,hamster
5701,23,male,aquarius,6,red,dog
5702,36,female,cancer,21,green,elephant
5703,36,female,scorpio,16,blue,horse
5704,24,male,sagittarius,8,red,goldfish
5705,24,male,aries,0,red,dog
5706,31,male,cancer,12,orange,hamster
5707,28,female,cancer,1,red,hamster
5708,43,female,scorpio,9,yellow,tiger
5709,42,male,cancer,19,red,eagle
5710,52,female,sagittarius,19,blue,elephant
5711,54,female,virgo,6,yellow,tiger
5712,48,male,pisces,9,blue,dog
5713,49,nb,cancer,17,yellow,goldfish
5714,24,female,scorpio,13,orange,hamster
5715,23,female,aquarius,20,yellow,goldfish
5716,28,female,scorpio,2,purple,tiger
5717,28,female,aquarius,8,red,goldfish
5718,58,female,scorpio,7,purple,elephant
5719,58,male,scorpio,17,yellow,cat
5720,46,male,cancer,4,purple,horse
5721,45,male,aquarius,19,orange,horse
5722,42,female,sagittarius,14,yellow,tiger
5723,42,female,virgo,14,green,eagle
5724,46,female,libra,7,yellow,hamster
5725,46,male,aries,7,purple,dog
5726,24,male,pisces,13,red,horse
5727,28,male,scorpio,11,yellow,horse
5728,41,female,leo,0,yellow,hamster
5729,42,male,scorpio,10,orange,eagle
5730,24,male,leo,18,yellow,goldfish
5731,26,nb,virgo,19,yellow,tiger
5732,27,nb,sagittarius,12,orange,goldfish
5733,26,female,gemini,7,orange,eagle
5734,43,female,virgo,5,green,hamster
5735,43,male,libra,12,red,goldfish
5736,47,nb,pisces,9,yellow,hamster
5737,47,female,aries,5,green,tiger
5738,28,male,libra,19,green,horse
5739,28,male,sagittarius,9,green,dog
5740,56,female,libra,0,yellow,tiger
5741,56,male,taurus,21,orange,cat
5742,49,female,sagittarius,7,red,goldfish
5743,47,male,taurus,10,blue,elephant
5744,47,nb,aquarius,15,orange,tiger
5745,47,male,virgo,19,yellow,horse
5746,47,female,sagittarius,3,green,elephant
5747,47,female,leo,10,purple,horse
5748,26,female,pisces,11,yellow,eagle
5749,26,female,cancer,13,green,tiger
5750,53,male,libra,5,purple,dog
5751,54,male,gemini,4,green,elephant
5752,48,male,scorpio,1,blue,goldfish
5753,51,male,scorpio,8,orange,tiger
5754,33,female,virgo,1,purple,cat
5755,34,male,aries,7,red,hamster
5756,24,female,virgo,14,purple,hamster
5757,24,female,gemini,13,orange,tiger
5758,23,female,scorpio,6,red,goldfish
5759,20,nb,virgo,11,green,cat
5760,39,male,virgo,15,yellow,horse
5761,42,male,leo,18,red,eagle
5762,48,female,aquarius,10,blue,hamster
5763,50,female,capricorn,13,blue,dog
5764,49,female,aries,19,blue,tiger
5765,48,female,sagittarius,12,orange,eagle
5766,32,female,virgo,20,blue,goldfish
5767,32,male,scorpio,8,yellow,horse
5768,43,female,taurus,1,red,dog
5769,45,nb,virgo,1,purple,goldfish
5770,20,female,aquarius,14,orange,dog
5771,22,male,cancer,17,purple,dog
5772,45,female,pisces,14,green,elephant
5773,46,female,scorpio,9,blue,horse
5774,44,female,gemini,8,orange,dog
5775,44,male,aquarius,8,green,horse
5776,23,female,sagittarius,14,yellow,cat
5777,23,male,aries,7,green,tiger
5778,44,male,leo,17,red,eagle
5779,47,female,sagittarius,13,red,cat
5780,32,nb,capricorn,13,green,elephant
5781,30,male,aries,2,purple,tiger
5782,23,male,aries,10,orange,goldfish
5783,24,male,cancer,10,red,goldfish
5784,30,male,aquarius,5,purple,hamster
5785,32,female,scorpio,17,blue,eagle
5786,27,nb,aries,8,green,eagle
5787,24,female,pisces,13,red,tiger
5788,36,female,libra,18,green,hamster
5789,36,male,virgo,3,red,eagle
5790,25,male,virgo,3,green,eagle
5791,26,male,capricorn,17,yellow,dog
5792,58,male,virgo,0,red,dog
5793,58,male,virgo,11,blue,dog
5794,20,nb,scorpio,13,blue,dog
5795,18,female,libra,13,orange,hamster
5796,56,male,libra,5,yellow,horse
5797,57,male,sagittarius,8,yellow,goldfish
5798,30,female,pisces,12,green,tiger
5799,30,male,capricorn,6,blue,dog
5800,18,male,taurus,10,green,cat
5801,22,male,cancer,14,yellow,dog
5802,58,female,scorpio,12,green,hamster
5803,58,nb,leo,15,purple,goldfish
5804,26,male,pisces,20,orange,hamster
5805,25,male,scorpio,18,yellow,tiger
5806,35,nb,taurus,16,green,tiger
5807,37,female,taurus,12,yellow,dog
5808,22,male,libra,9,orange,hamster
5809,22,male,aries,17,red,hamster
5810,21,female,capricorn,12,yellow,dog
5811,21,nb,cancer,7,yellow,elephant
5812,56,male,taurus,17,purple,horse
5813,56,male,scorpio,21,blue,goldfish
5814,57,male,libra,20,green,cat
5815,59,female,taurus,10,blue,tiger
5816,46,female,sagittarius,5,green,dog
5817,43,female,aries,3,yellow,tiger
5818,56,male,capricorn,10,blue,elephant
5819,55,female,virgo,15,purple,tiger
5820,36,female,gemini,13,purple,hamster
5821,34,female,capricorn,18,purple,horse
5822,36,male,aquarius,13,red,tiger
5823,38,male,pisces,17,blue,horse
5824,54,male,gemini,5,yellow,eagle
5825,51,female,cancer,10,orange,goldfish
5826,21,male,aries,1,yellow,hamster
5827,21,male,libra,13,yellow,tiger
5828,29,female,leo,5,yellow,cat
5829,28,female,gemini,3,green,horse
5830,35,female,virgo,15,purple,elephant
5831,38,male,pisces,2,green,tiger
5832,36,female,capricorn,14,green,goldfish
5833,39,nb,pisces,17,red,horse
5834,27,female,aquarius,11,yellow,elephant
5835,28,female,virgo,8,orange,hamster
5836,29,male,virgo,4,orange,elephant
5837,29,male,capricorn,21,purple,tiger
5838,37,male,gemini,11,yellow,cat
5839,37,nb,sagittarius,7,green,tiger
5840,34,female,capricorn,11,yellow,hamster
5841,34,female,aquarius,3,blue,goldfish
5842,18,female,aquarius,5,yellow,elephant
5843,20,male,libra,3,blue,horse
5844,57,female,libra,15,blue,eagle
5845,56,male,sagittarius,11,orange,cat
5846,40,male,virgo,10,blue,goldfish
5847,40,female,gemini,21,red,tiger
5848,50,male,scorpio,19,yellow,elephant
5849,48,female,aquarius,11,red,cat
5850,47,male,aries,3,blue,cat
5851,48,male,aries,20,purple,goldfish
5852,19,male,virgo,6,purple,elephant
5853,22,male,capricorn,7,orange,eagle
5854,30,female,scorpio,0,yellow,horse
5855,30,female,taurus,1,red,hamster
5856,51,nb,gemini,11,yellow,hamster
5857,48,male,aries,10,orange,hamster
5858,36,female,scorpio,10,yellow,cat
5859,38,male,capricorn,16,green,eagle
5860,35,male,libra,5,purple,hamster
5861,36,male,pisces,16,yellow,dog
5862,52,female,cancer,19,purple,cat
5863,51,male,aquarius,20,blue,dog
5864,20,male,taurus,10,red,cat
5865,22,female,scorpio,18,red,tiger
5866,47,male,cancer,1,green,eagle
5867,47,male,leo,2,orange,dog
5868,30,nb,aquarius,18,purple,hamster
5869,27,male,leo,20,yellow,elephant
5870,28,female,gemini,14,green,eagle
5871,32,male,capricorn,20,purple,tiger
5872,49,male,capricorn,9,green,elephant
5873,48,male,taurus,17,blue,eagle
5874,52,female,libra,11,orange,dog
5875,51,female,leo,9,blue,hamster
5876,35,female,sagittarius,10,yellow,tiger
5877,35,female,taurus,16,purple,hamster
5878,45,male,leo,20,yellow,elephant
5879,46,female,gemini,13,orange,tiger
5880,54,male,gemini,18,purple,tiger
5881,54,male,leo,17,orange,hamster
5882,28,male,gemini,17,green,goldfish
5883,31,male,virgo,12,red,hamster
5884,37,male,virgo,20,green,tiger
5885,40,female,leo,9,red,eagle
5886,55,male,taurus,16,blue,hamster
5887,55,male,pisces,9,red,dog
5888,49,female,pisces,11,green,horse
5889,51,female,sagittarius,15,green,goldfish
5890,53,male,leo,4,yellow,goldfish
5891,52,female,libra,18,yellow,elephant
5892,28,female,libra,12,yellow,eagle
5893,30,male,virgo,11,orange,cat
5894,33,nb,scorpio,18,orange,dog
5895,37,male,taurus,16,orange,cat
5896,27,nb,pisces,20,orange,dog
5897,27,male,cancer,19,blue,tiger
5898,59,male,sagittarius,8,yellow,horse
5899,59,male,aquarius,20,yellow,goldfish
5900,23,nb,pisces,3,orange,horse
5901,26,female,pisces,17,green,horse
5902,55,female,taurus,21,red,cat
5903,55,male,pisces,10,blue,cat
5904,48,female,scorpio,11,green,dog
5905,49,female,aquarius,20,green,goldfish
5906,38,male,aquarius,7,purple,elephant
5907,37,nb,scorpio,8,blue,cat
5908,42,female,aquarius,5,red,goldfish
5909,41,male,gemini,1,blue,goldfish
5910,45,female,pisces,20,orange,dog
5911,46,female,cancer,4,red,elephant
5912,47,female,aquarius,12,orange,cat
5913,47,female,pisces,3,blue,horse
5914,47,male,pisces,5,blue,goldfish
5915,46,nb,sagittarius,9,orange,tiger
5916,35,male,scorpio,4,red,tiger
5917,35,nb,aquarius,4,yellow,goldfish
5918,40,female,taurus,4,orange,hamster
5919,39,male,aquarius,8,blue,eagle
5920,41,male,sagittarius,13,blue,dog
5921,40,female,pisces,9,blue,elephant
5922,30,male,aquarius,3,orange,dog
5923,28,male,pisces,3,red,horse
5924,38,nb,capricorn,14,orange,eagle
5925,38,female,scorpio,19,purple,dog
5926,19,female,sagittarius,4,yellow,dog
5927,18,female,leo,19,green,horse
5928,48,female,sagittarius,1,green,eagle
5929,46,female,leo,10,yellow,tiger
5930,29,male,libra,8,blue,hamster
5931,27,male,libra,13,orange,cat
5932,46,female,virgo,21,blue,eagle
5933,43,nb,leo,8,purple,goldfish
5934,35,male,capricorn,13,yellow,horse
5935,36,nb,aries,9,purple,hamster
5936,27,male,libra,18,blue,elephant
5937,27,nb,taurus,2,green,tiger
5938,44,male,libra,2,red,goldfish
5939,44,female,sagittarius,19,blue,goldfish
5940,23,female,leo,14,yellow,horse
5941,22,male,scorpio,18,orange,eagle
5942,26,male,scorpio,2,blue,cat
5943,27,male,taurus,7,red,goldfish
5944,44,male,aries,12,blue,horse
5945,46,female,virgo,2,purple,eagle
5946,22,male,leo,7,red,hamster
5947,19,female,gemini,21,blue,eagle
5948,27,female,pisces,3,green,dog
5949,28,female,pisces,14,purple,elephant
5950,58,female,gemini,5,green,cat
5951,56,nb,leo,11,purple,cat
5952,49,male,taurus,18,purple,dog
5953,49,male,leo,0,blue,dog
5954,40,female,pisces,8,green,dog
5955,40,female,aquarius,1,yellow,horse
5956,22,female,scorpio,7,orange,horse
5957,22,female,sagittarius,7,red,tiger
5958,29,female,libra,2,green,tiger
5959,29,male,scorpio,10,red,elephant
5960,18,female,taurus,4,orange,elephant
5961,18,nb,capricorn,21,blue,dog
5962,50,female,virgo,13,yellow,dog
5963,51,male,virgo,5,yellow,elephant
5964,45,female,virgo,17,blue,horse
5965,47,male,taurus,13,blue,dog
5966,19,male,gemini,3,purple,dog
5967,19,nb,virgo,15,blue,goldfish
5968,31,female,taurus,6,blue,cat
5969,31,female,cancer,4,yellow,eagle
5970,45,female,gemini,16,green,elephant
5971,45,female,taurus,11,red,eagle
5972,49,nb,scorpio,10,green,horse
5973,47,male,leo,12,purple,elephant
5974,27,male,virgo,1,yellow,hamster
5975,27,female,pisces,6,blue,eagle
5976,24,male,leo,1,green,dog
5977,24,male,virgo,19,red,dog
5978,42,male,sagittarius,8,orange,hamster
5979,43,male,aquarius,8,purple,cat
5980,55,female,libra,14,red,cat
5981,55,male,libra,11,green,horse
5982,24,female,aries,2,yellow,goldfish
5983,25,female,aquarius,7,blue,hamster
5984,18,male,aquarius,3,red,cat
5985,20,male,virgo,2,blue,cat
5986,52,female,cancer,14,green,eagle
5987,51,male,sagittarius,9,yellow,dog
5988,23,male,aries,9,purple,horse
5989,21,nb,cancer,13,blue,hamster
5990,38,male,capricorn,2,green,tiger
5991,38,male,cancer,5,blue,horse
5992,56,male,capricorn,21,blue,goldfish
5993,54,nb,sagittarius,3,red,cat
5994,40,male,virgo,6,green,hamster
5995,40,female,capricorn,14,purple,cat
5996,40,female,virgo,7,orange,cat
5997,40,nb,sagittarius,20,purple,hamster
5998,24,female,pisces,15,green,horse
5999,24,male,aries,19,yellow,horse
6000,27,male,leo,0,yellow,horse
6001,24,male,gemini,16,green,horse
6002,19,male,aquarius,14,yellow,eagle
6003,22,female,gemini,4,red,dog
6004,23,male,libra,19,blue,elephant
6005,23,nb,sagittarius,9,red,cat
6006,28,female,libra,10,purple,dog
6007,29,nb,aries,9,yellow,eagle
6008,51,nb,leo,3,blue,goldfish
6009,55,female,pisces,10,green,cat
6010,39,female,capricorn,5,orange,hamster
6011,39,male,sagittarius,20,orange,cat
6012,48,male,scorpio,20,green,cat
6013,48,male,gemini,6,blue,tiger
6014,44,nb,taurus,1,yellow,elephant
6015,43,male,sagittarius,1,green,goldfish
6016,46,female,aquarius,7,orange,cat
6017,46,male,pisces,0,blue,cat
6018,18,female,aries,15,green,horse
6019,18,nb,cancer,8,green,horse
6020,23,female,libra,7,yellow,hamster
6021,22,male,taurus,0,purple,cat
6022,20,male,libra,3,green,dog
6023,20,female,virgo,7,orange,dog
6024,42,female,libra,1,purple,elephant
6025,44,male,virgo,18,green,horse
6026,27,female,leo,9,blue,dog
6027,26,male,pisces,10,purple,hamster
6028,57,male,virgo,5,blue,dog
6029,59,male,aquarius,2,blue,cat
6030,45,female,scorpio,2,blue,horse
6031,49,female,aquarius,12,green,dog
6032,36,male,taurus,6,blue,dog
6033,37,nb,libra,10,purple,cat
6034,48,male,gemini,13,blue,horse
6035,48,male,libra,13,yellow,eagle
6036,33,female,scorpio,14,orange,elephant
6037,32,female,gemini,17,orange,cat
6038,53,female,gemini,13,yellow,goldfish
6039,56,female,taurus,13,green,elephant
6040,45,nb,pisces,4,yellow,cat
6041,44,female,aries,8,green,horse
6042,23,female,aquarius,20,orange,cat
6043,23,male,libra,7,blue,dog
6044,42,male,pisces,17,blue,elephant
6045,42,male,libra,5,yellow,eagle
6046,42,male,aries,13,orange,tiger
6047,39,male,gemini,11,yellow,elephant
6048,46,male,gemini,18,red,cat
6049,44,female,aquarius,17,blue,tiger
6050,22,male,scorpio,9,green,goldfish
6051,21,male,cancer,10,orange,goldfish
6052,56,female,gemini,4,blue,eagle
6053,56,female,gemini,4,orange,dog
6054,58,male,libra,13,yellow,dog
6055,57,nb,virgo,5,purple,goldfish
6056,24,male,aries,6,purple,elephant
6057,23,male,capricorn,13,red,cat
6058,45,nb,scorpio,10,orange,eagle
6059,45,male,aries,15,red,elephant
6060,42,male,gemini,20,blue,cat
6061,41,male,virgo,0,yellow,elephant
6062,49,male,scorpio,0,red,horse
6063,49,male,capricorn,7,yellow,goldfish
6064,57,male,leo,17,yellow,dog
6065,56,male,sagittarius,12,purple,eagle
6066,48,female,libra,13,blue,dog
6067,52,female,capricorn,3,yellow,goldfish
6068,49,male,leo,11,blue,tiger
6069,49,male,cancer,13,purple,cat
6070,32,male,taurus,21,yellow,dog
6071,31,female,cancer,1,purple,tiger
6072,46,male,taurus,18,yellow,horse
6073,42,male,virgo,20,green,hamster
6074,37,male,leo,17,green,goldfish
6075,37,male,capricorn,6,green,tiger
6076,20,female,libra,14,green,goldfish
6077,19,female,pisces,14,orange,goldfish
6078,59,female,libra,8,red,goldfish
6079,61,female,leo,0,red,tiger
6080,55,male,leo,4,green,goldfish
6081,55,female,leo,9,orange,eagle
6082,58,male,taurus,5,red,hamster
6083,59,female,leo,2,yellow,elephant
6084,31,male,capricorn,14,red,eagle
6085,31,male,scorpio,8,orange,goldfish
6086,57,male,capricorn,9,red,tiger
6087,57,female,gemini,12,yellow,cat
6088,43,female,gemini,21,orange,hamster
6089,43,nb,taurus,6,green,eagle
6090,28,male,scorpio,9,yellow,dog
6091,29,female,virgo,15,purple,tiger
6092,37,female,pisces,10,orange,eagle
6093,37,male,scorpio,1,red,elephant
6094,45,female,capricorn,15,yellow,elephant
6095,47,male,aries,5,blue,elephant
6096,54,male,gemini,4,red,elephant
6097,54,female,leo,19,purple,dog
6098,19,male,sagittarius,3,blue,tiger
6099,19,female,gemini,9,yellow,horse
6100,30,male,libra,21,orange,goldfish
6101,27,male,scorpio,14,red,elephant
6102,57,female,pisces,19,orange,horse
6103,57,male,capricorn,7,green,tiger
6104,27,female,aries,12,blue,horse
6105,27,female,leo,14,yellow,eagle
6106,19,female,leo,8,green,dog
6107,18,female,leo,20,blue,hamster
6108,45,male,virgo,8,purple,tiger
6109,46,female,virgo,9,orange,tiger
6110,47,male,sagittarius,14,blue,horse
6111,47,male,aries,10,purple,horse
6112,50,female,aries,19,yellow,hamster
6113,48,female,libra,4,purple,horse
6114,21,male,aries,8,red,dog
6115,22,male,virgo,5,yellow,hamster
6116,31,female,libra,10,orange,cat
6117,31,male,aries,19,orange,elephant
6118,44,female,pisces,19,orange,horse
6119,44,male,sagittarius,20,orange,dog
6120,43,female,scorpio,0,yellow,tiger
6121,46,male,taurus,21,orange,tiger
6122,19,male,scorpio,2,yellow,elephant
6123,19,female,aquarius,0,red,eagle
6124,23,nb,sagittarius,6,green,horse
6125,24,female,gemini,2,orange,tiger
6126,39,nb,taurus,7,red,elephant
6127,41,male,pisces,2,yellow,elephant
6128,55,female,gemini,16,purple,eagle
6129,55,female,aries,18,purple,goldfish
6130,35,male,gemini,20,blue,eagle
6131,34,male,sagittarius,21,blue,horse
6132,41,female,aquarius,5,green,hamster
6133,38,male,capricorn,0,red,goldfish
6134,56,male,taurus,14,yellow,horse
6135,54,female,aries,13,yellow,eagle
6136,27,female,pisces,15,green,tiger
6137,25,female,sagittarius,13,yellow,dog
6138,33,female,capricorn,21,yellow,elephant
6139,32,male,aries,2,yellow,cat
6140,43,male,virgo,9,yellow,cat
6141,44,female,libra,10,yellow,goldfish
6142,22,female,capricorn,13,green,elephant
6143,24,female,virgo,9,blue,cat
6144,42,male,libra,12,red,dog
6145,41,male,virgo,19,yellow,hamster
6146,41,female,libra,12,orange,tiger
6147,40,male,aries,20,green,cat
6148,22,male,capricorn,4,yellow,cat
6149,22,male,cancer,14,yellow,cat
6150,43,female,aries,6,blue,cat
6151,42,male,libra,16,yellow,dog
6152,40,male,libra,16,yellow,cat
6153,40,female,gemini,14,orange,tiger
6154,23,female,sagittarius,3,red,tiger
6155,23,male,gemini,13,red,hamster
6156,32,female,aries,4,green,elephant
6157,34,male,capricorn,11,green,goldfish
6158,52,male,gemini,15,purple,horse
6159,55,female,sagittarius,17,yellow,tiger
6160,42,male,libra,3,orange,elephant
6161,42,female,aquarius,5,orange,dog
6162,39,male,cancer,1,purple,eagle
6163,39,female,aries,2,green,cat
6164,36,male,scorpio,15,blue,hamster
6165,35,female,cancer,7,purple,horse
6166,29,male,cancer,9,orange,cat
6167,29,male,virgo,12,purple,cat
6168,45,male,scorpio,20,green,elephant
6169,44,female,taurus,19,blue,tiger
6170,47,female,libra,20,orange,hamster
6171,47,female,scorpio,21,orange,horse
6172,41,female,sagittarius,21,purple,cat
6173,39,female,aquarius,11,yellow,tiger
6174,53,female,aries,17,green,hamster
6175,56,male,aries,0,red,tiger
6176,40,male,cancer,0,red,cat
6177,39,male,libra,7,purple,elephant
6178,26,male,aries,9,yellow,elephant
6179,26,male,taurus,9,yellow,goldfish
6180,23,male,pisces,18,purple,elephant
6181,22,male,gemini,8,yellow,eagle
6182,26,female,gemini,19,orange,dog
6183,22,male,gemini,11,blue,goldfish
6184,28,female,scorpio,10,orange,cat
6185,25,male,capricorn,1,green,eagle
6186,58,male,sagittarius,21,red,tiger
6187,60,male,virgo,18,red,goldfish
6188,25,male,leo,6,yellow,hamster
6189,25,female,scorpio,15,orange,eagle
6190,26,female,capricorn,11,blue,elephant
6191,29,female,leo,14,purple,horse
6192,38,male,virgo,17,orange,eagle
6193,37,nb,aries,7,red,tiger
6194,48,male,aries,3,green,eagle
6195,49,nb,cancer,1,orange,cat
6196,22,male,gemini,7,orange,elephant
6197,21,male,aries,13,blue,goldfish
6198,27,male,virgo,21,blue,cat
6199,31,nb,gemini,8,blue,cat
6200,45,nb,aquarius,14,red,goldfish
6201,45,nb,scorpio,20,purple,hamster
6202,27,male,capricorn,5,purple,cat
6203,31,male,taurus,3,green,horse
6204,48,male,sagittarius,14,red,horse
6205,48,female,gemini,8,purple,cat
6206,39,female,cancer,14,purple,cat
6207,41,male,leo,14,yellow,horse
6208,32,female,capricorn,8,orange,eagle
6209,34,female,capricorn,14,green,tiger
6210,58,male,leo,14,blue,elephant
6211,56,male,aries,8,purple,dog
6212,38,male,pisces,17,red,tiger
6213,38,female,taurus,14,green,eagle
6214,26,male,pisces,1,red,goldfish
6215,25,male,gemini,19,blue,hamster
6216,23,male,libra,21,yellow,horse
6217,25,male,gemini,1,blue,horse
6218,48,female,scorpio,20,blue,dog
6219,48,female,aquarius,8,blue,elephant
6220,30,female,leo,4,purple,tiger
6221,30,female,cancer,13,orange,horse
6222,25,male,aquarius,20,green,cat
6223,25,female,capricorn,7,green,tiger
6224,30,male,gemini,8,purple,elephant
6225,29,male,taurus,19,yellow,horse
6226,59,female,gemini,19,blue,elephant
6227,59,nb,cancer,18,green,dog
6228,41,female,virgo,3,purple,hamster
6229,39,female,leo,11,purple,dog
6230,23,male,cancer,7,purple,elephant
6231,24,male,leo,18,purple,elephant
6232,55,male,scorpio,4,green,tiger
6233,55,female,aries,8,green,horse
6234,22,male,gemini,21,orange,horse
6235,22,male,virgo,2,orange,dog
6236,53,male,sagittarius,9,blue,horse
6237,53,male,capricorn,16,green,tiger
6238,29,nb,leo,0,green,goldfish
6239,27,nb,scorpio,7,blue,hamster
6240,55,female,aquarius,1,red,hamster
6241,55,female,sagittarius,2,red,cat
6242,45,female,scorpio,4,red,hamster
6243,44,female,gemini,21,green,horse
6244,51,male,scorpio,10,green,cat
6245,51,female,taurus,21,green,horse
6246,46,nb,gemini,4,purple,cat
6247,50,female,sagittarius,16,purple,goldfish
6248,51,female,cancer,8,blue,elephant
6249,51,female,sagittarius,8,red,cat
6250,59,female,cancer,0,yellow,eagle
6251,59,male,leo,2,red,elephant
6252,46,male,libra,11,orange,tiger
6253,48,female,libra,19,blue,horse
6254,45,female,capricorn,17,green,eagle
6255,46,male,leo,8,orange,tiger
6256,57,male,aries,16,blue,eagle
6257,58,female,capricorn,2,green,dog
6258,26,male,pisces,6,orange,goldfish
6259,26,male,aquarius,18,purple,cat
6260,57,male,capricorn,7,purple,goldfish
6261,60,female,virgo,12,red,dog
6262,42,female,virgo,10,red,cat
6263,41,female,pisces,2,purple,eagle
6264,28,female,sagittarius,7,red,elephant
6265,28,male,gemini,3,yellow,elephant
6266,40,male,taurus,13,yellow,elephant
6267,39,female,aquarius,20,yellow,hamster
6268,19,male,aries,1,yellow,dog
6269,21,female,capricorn,9,orange,eagle
6270,23,female,libra,16,blue,dog
6271,23,female,pisces,4,purple,tiger
6272,42,male,leo,12,red,hamster
6273,44,male,leo,15,yellow,goldfish
6274,35,male,aries,16,orange,hamster
6275,35,male,aries,2,red,goldfish
6276,28,female,pisces,13,blue,elephant
6277,27,female,aries,5,green,tiger
6278,30,female,aquarius,21,blue,horse
6279,32,female,aquarius,9,purple,eagle
6280,28,male,taurus,10,orange,hamster
6281,27,male,capricorn,15,yellow,horse
6282,59,male,sagittarius,14,green,hamster
6283,57,male,aries,14,green,eagle
6284,47,female,libra,4,orange,goldfish
6285,45,female,pisces,6,orange,dog
6286,21,female,aries,0,blue,hamster
6287,23,male,aquarius,19,green,goldfish
6288,44,female,pisces,1,green,horse
6289,44,female,virgo,13,purple,hamster
6290,40,male,libra,12,green,cat
6291,40,male,pisces,1,green,goldfish
6292,25,male,capricorn,9,green,cat
6293,25,male,cancer,7,green,cat
6294,36,female,gemini,16,yellow,hamster
6295,38,male,scorpio,20,blue,cat
6296,33,female,capricorn,4,yellow,dog
6297,31,female,gemini,13,green,elephant
6298,52,female,taurus,7,orange,hamster
6299,52,female,leo,9,yellow,tiger
6300,45,female,leo,6,green,eagle
6301,48,male,virgo,15,yellow,cat
6302,34,male,leo,11,green,eagle
6303,37,female,leo,15,green,hamster
6304,52,female,leo,21,blue,goldfish
6305,51,nb,gemini,16,red,eagle
6306,21,male,aries,4,orange,elephant
6307,21,male,scorpio,2,red,goldfish
6308,50,male,sagittarius,21,red,eagle
6309,51,female,pisces,19,green,elephant
6310,52,nb,aquarius,12,orange,dog
6311,52,male,taurus,21,yellow,goldfish
6312,28,male,capricorn,15,red,elephant
6313,29,nb,aries,4,orange,tiger
6314,46,male,libra,1,green,hamster
6315,48,male,libra,2,yellow,dog
6316,49,female,cancer,19,green,horse
6317,50,female,pisces,18,orange,hamster
6318,40,female,pisces,12,green,elephant
6319,40,male,leo,20,purple,eagle
6320,39,male,cancer,18,orange,goldfish
6321,42,male,aries,17,yellow,cat
6322,45,male,virgo,0,orange,hamster
6323,49,female,taurus,1,red,cat
6324,18,female,virgo,20,red,tiger
6325,18,male,virgo,5,yellow,eagle
6326,23,female,sagittarius,16,blue,hamster
6327,21,male,aquarius,13,purple,horse
6328,27,female,aquarius,4,red,eagle
6329,25,female,pisces,19,orange,elephant
6330,43,male,taurus,11,blue,horse
6331,43,nb,leo,12,blue,tiger
6332,34,female,taurus,15,green,eagle
6333,34,female,taurus,18,red,horse
6334,24,male,scorpio,1,purple,cat
6335,22,male,taurus,6,blue,dog
6336,26,female,virgo,18,red,dog
6337,25,nb,pisces,8,blue,cat
6338,24,nb,virgo,20,blue,cat
6339,25,female,scorpio,10,yellow,eagle
6340,33,female,aquarius,12,blue,hamster
6341,34,male,leo,2,orange,cat
6342,54,female,scorpio,2,yellow,eagle
6343,52,female,sagittarius,13,green,eagle
6344,54,female,virgo,20,green,horse
6345,55,male,cancer,19,blue,elephant
6346,54,female,sagittarius,19,purple,dog
6347,55,male,sagittarius,1,purple,horse
6348,54,female,taurus,2,purple,cat
6349,54,female,leo,21,green,tiger
6350,59,male,gemini,13,green,dog
6351,60,male,aquarius,18,red,tiger
6352,56,female,virgo,19,green,eagle
6353,57,male,capricorn,5,blue,eagle
6354,32,nb,taurus,19,red,elephant
6355,32,male,aquarius,2,yellow,goldfish
6356,44,male,virgo,18,orange,tiger
6357,45,male,sagittarius,6,yellow,horse
6358,38,female,scorpio,5,orange,horse
6359,38,female,aquarius,14,blue,cat
6360,32,female,capricorn,7,purple,elephant
6361,31,nb,pisces,14,red,horse
6362,49,male,cancer,10,purple,tiger
6363,47,female,gemini,1,purple,tiger
6364,21,male,taurus,9,red,eagle
6365,22,male,taurus,1,red,hamster
6366,34,male,aquarius,20,orange,cat
6367,34,nb,capricorn,1,red,horse
6368,47,male,capricorn,16,green,eagle
6369,45,male,taurus,0,orange,goldfish
6370,27,female,sagittarius,13,yellow,cat
6371,28,female,aries,8,red,dog
6372,29,nb,aquarius,1,purple,hamster
6373,29,female,libra,7,blue,elephant
6374,52,female,scorpio,15,blue,dog
6375,52,female,aries,4,orange,cat
6376,19,female,taurus,0,purple,tiger
6377,18,female,pisces,1,purple,tiger
6378,25,male,cancer,21,red,horse
6379,27,female,pisces,17,green,hamster
6380,24,male,capricorn,18,red,tiger
